path,label,speaker,source_file,window_idx
windows/4040 India Demo/win_0000.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,0
windows/4040 India Demo/win_0001.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,1
windows/4040 India Demo/win_0002.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,2
windows/4040 India Demo/win_0003.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,3
windows/4040 India Demo/win_0004.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,4
windows/4040 India Demo/win_0005.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,5
windows/4040 India Demo/win_0006.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,6
windows/4040 India Demo/win_0007.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,7
windows/4040 India Demo/win_0008.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,8
windows/4040 India Demo/win_0009.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,9
windows/4040 India Demo/win_0010.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,10
windows/4040 India Demo/win_0011.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,11
windows/4040 India Demo/win_0012.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,12
windows/4040 India Demo/win_0013.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,13
windows/4040 India Demo/win_0014.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,14
windows/4040 India Demo/win_0015.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,15
windows/4040 India Demo/win_0016.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,16
windows/4040 India Demo/win_0017.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,17
windows/4040 India Demo/win_0018.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,18
windows/4040 India Demo/win_0019.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,19
windows/4040 India Demo/win_0020.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,20
windows/4040 India Demo/win_0021.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,21
windows/4040 India Demo/win_0022.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,22
windows/4040 India Demo/win_0023.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,23
windows/4040 India Demo/win_0024.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,24
windows/4040 India Demo/win_0025.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,25
windows/4040 India Demo/win_0026.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,26
windows/4040 India Demo/win_0027.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,27
windows/4040 India Demo/win_0028.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,28
windows/4040 India Demo/win_0029.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,29
windows/4040 India Demo/win_0030.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,30
windows/4040 India Demo/win_0031.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,31
windows/4040 India Demo/win_0032.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,32
windows/4040 India Demo/win_0033.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,33
windows/4040 India Demo/win_0034.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,34
windows/4040 India Demo/win_0035.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,35
windows/4040 India Demo/win_0036.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,36
windows/4040 India Demo/win_0037.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,37
windows/4040 India Demo/win_0038.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,38
windows/4040 India Demo/win_0039.pt,UNKNOWN,4040 India Demo,my-folder/4040 India Demo.mp3,39
